batting_id,match_id,team_id,player_id,runs_scored,balls_faced,fours,sixes,strike_rate,dismissal_type,bowler_id
79,5,5,95,1,2,0,0,50.0,b Kassim Nassoro,76
80,5,5,55,0,0,0,0,0.0,not out,
81,6,8,82,13,20,1,0,65.0,b Vincent Ateak,46
82,6,8,83,8,9,1,0,88.89,lbw b Obed Harvey,38
83,6,8,84,12,19,0,0,63.16,b Lee Nyarko,44
84,6,8,85,3,11,0,0,27.27,c Lee Nyarko b Obed Harvey,38
85,6,8,88,3,11,0,0,27.27,b Bharani Majji,47
86,6,8,86,7,13,0,0,53.85,b Lee Nyarko,44
87,6,8,87,2,7,0,0,28.57,st Frank Baaleri b Shijo Devasia,98
88,6,8,89,2,10,0,0,20.0,b Bharani Majji,47
89,6,8,90,2,6,0,0,33.33,run out (Bharani Majji/Frank Baaleri),
90,6,8,91,6,8,0,0,75.0,run out (Devender Singh/Frank Baaleri),
91,6,8,92,9,6,1,0,150.0,not out,
92,6,3,36,44,22,7,2,200.0,not out,
93,6,3,37,21,14,3,0,150.0,b Aiden Leo,87
94,6,3,38,8,5,1,0,160.0,not out,
95,7,4,25,21,16,5,0,131.25,c Donnex Kansonkho b Kelvin Thuchila,65
96,7,4,35,1,4,0,0,25.0,b Kelvin Thuchila,65
97,7,4,26,0,1,0,0,0.0,b Kelvin Thuchila,65
98,7,4,27,7,13,1,0,53.85,c Blessings Pondani b Kelvin Thuchila,65
99,7,4,30,0,2,0,0,0.0,lbw b Kelvin Thuchila,65
100,7,4,31,0,1,0,0,0.0,b Kelvin Thuchila,65
101,7,4,29,17,24,3,0,70.83,b Daniel Jakiel,62
102,7,4,32,3,10,0,0,30.0,c Kazim Somani b Suhail Vayani,100
103,7,4,34,16,11,0,2,145.45,c Aaftab Limdawala b Suhail Vayani,100
104,7,4,33,1,6,0,0,16.67,lbw b Sami Sohail,67
105,7,4,28,2,4,0,0,50.0,not out,
106,7,6,63,8,4,2,0,200.0,c Hujeifa Jangariya b Saqib Anwar,33
107,7,6,67,50,19,8,2,263.16,not out,
108,7,6,66,8,12,1,0,66.67,c Mancoba Jele b Umair Qasim,35
109,7,6,64,7,6,1,0,116.67,not out,
