batting_id,match_code,team_name,player_name,runs_scored,balls_faced,fours,sixes,strike_rate,dismissal_type,bowler_name
193,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,carlos nunes,12,10,1,1,120.0,not out,
194,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,sirajullah khadim,0,0,0,0,0.0,did not bat,
195,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,natim hassam,0,0,0,0,0.0,did not bat,
196,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,rahulkumar hashu,0,0,0,0,0.0,did not bat,
197,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,teddy fleming,0,0,0,0,0.0,did not bat,
198,fra-vs-port-2nd-match-portugal-t20i-tri-series-2026,Portugal,upen shantu,0,0,0,0,0.0,did not bat,
199,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,khizer ahmed,24,19,1,1,126.32,run out (Mohammad Khan Rafah/Lingeswaran Canessane),
200,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,kuruge abeyrathna,38,38,1,3,100.0,b Zada Sher,zada sher
201,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,chaudhary akram,41,34,3,1,120.59,b Usman Khan,usman khan
202,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,ibrahim rahimi,34,15,3,3,226.67,c Dawood Ahmadzai b Usman Khan,usman khan
203,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,faisal raza,2,2,0,0,100.0,c Dawood Ahmadzai b Mohammad Khan Rafah,mohammad khan rafah
204,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,tafseer ali,1,3,0,0,33.33,c Gustav Mckeon b Usman Khan,usman khan
205,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,junaid mehmood hussain,0,2,0,0,0.0,b Usman Khan,usman khan
206,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,vinay ravi,1,2,0,0,50.0,c Rahimgul Naseri b Mohammad Khan Rafah,mohammad khan rafah
207,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,qamar mushtaque,1,2,0,0,50.0,not out,
208,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,ahmadullah shinwari,0,1,0,0,0.0,b Mohammad Khan Rafah,mohammad khan rafah
209,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,Norway,muhammad butt,1,2,0,0,50.0,not out,
210,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,gustav mckeon,4,5,1,0,80.0,b Vinay Ravi,vinay ravi
211,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,nasibullah arab,29,18,4,1,161.11,st Khizer Ahmed b Muhammad Butt,muhammad butt
212,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,noman amjad,6,4,1,0,150.0,c Kuruge Abeyrathna b Vinay Ravi,vinay ravi
213,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,christian roberts,53,45,4,0,117.78,b Vinay Ravi,vinay ravi
214,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,lingeswaran canessane,13,12,0,1,108.33,c Vinay Ravi b Kuruge Abeyrathna,kuruge abeyrathna
215,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,mohammad khan rafah,1,3,0,0,33.33,b Kuruge Abeyrathna,kuruge abeyrathna
216,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,zada sher,0,1,0,0,0.0,c Kuruge Abeyrathna b Muhammad Butt,muhammad butt
217,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,usman khan,3,5,0,0,60.0,st Khizer Ahmed b Kuruge Abeyrathna,kuruge abeyrathna
218,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,dawood ahmadzai,19,18,2,0,105.56,b Qamar Mushtaque,qamar mushtaque
219,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,rahimgul naseri,0,1,0,0,0.0,b Vinay Ravi,vinay ravi
220,nor-vs-fra-1st-match-portugal-t20i-tri-series-2026,France,zaheer zahiri,1,2,0,0,50.0,not out,
